worker_id,education,experience,female,industry,log_wage
1,11,21,0,Healthcare,3.2773
2,13,28,0,Finance,3.9201
3,15,24,1,Education,3.4982
4,12,24,1,Finance,3.4337
5,15,6,0,Services,2.8072
6,12,26,1,Services,3.2288
7,19,21,0,Healthcare,4.0534
8,16,24,1,Services,3.8797
9,11,19,1,Education,2.7962
10,17,21,0,Manufacturing,3.5736
11,12,27,1,Services,3.4119
12,17,26,0,Education,3.9518
13,18,25,0,Finance,4.1186
14,10,16,1,Manufacturing,3.1811
15,13,22,0,Education,3.433
16,14,28,0,Healthcare,3.6928
17,14,15,0,Manufacturing,3.259
18,16,36,1,Manufacturing,3.9405
19,13,15,0,Manufacturing,3.0605
20,17,17,1,Manufacturing,3.2031
21,16,30,1,Manufacturing,3.9108
22,19,20,0,Finance,4.1452
23,16,23,0,Manufacturing,3.8422
24,15,24,1,Manufacturing,3.2893
25,16,22,1,Education,3.6221
26,17,26,0,Finance,4.0
27,12,20,0,Education,3.3077
28,15,30,0,Healthcare,3.7948
29,15,21,0,Finance,3.5548
30,17,19,0,Education,3.7288
31,13,20,0,Manufacturing,3.3071
32,16,25,1,Manufacturing,3.5383
33,12,14,1,Manufacturing,2.9613
34,11,31,1,Education,3.3188
35,11,25,0,Finance,3.4358
36,11,26,0,Education,3.1368
37,13,14,1,Services,2.9218
38,17,27,0,Healthcare,4.261
39,15,22,1,Finance,3.5083
40,18,22,1,Education,3.7508
41,20,27,1,Finance,4.4008
42,14,31,0,Healthcare,3.8741
43,12,24,0,Healthcare,3.4345
44,15,26,1,Finance,3.7862
45,16,15,0,Finance,3.976
46,13,9,0,Healthcare,3.1067
47,14,12,1,Manufacturing,2.9134
48,14,22,1,Education,3.2455
49,15,33,1,Services,4.2882
50,11,13,0,Education,2.8638
51,13,28,0,Finance,3.6815
52,16,21,0,Education,3.5226
53,16,19,0,Healthcare,3.1293
54,13,22,0,Finance,3.411
55,14,21,1,Education,3.0911
56,13,16,1,Services,3.1538
57,18,19,0,Education,3.3557
58,18,32,1,Education,4.1487
59,15,28,1,Finance,3.896
60,17,20,0,Services,3.5225
61,10,31,1,Manufacturing,3.5031
62,17,23,1,Manufacturing,3.3586
63,17,17,0,Education,3.7067
64,10,11,1,Manufacturing,2.6638
65,15,20,1,Healthcare,3.1322
66,11,25,0,Services,3.3964
67,12,22,0,Manufacturing,3.3075
68,14,27,0,Services,3.7883
69,15,22,0,Finance,3.8234
70,13,22,1,Healthcare,3.4227
71,14,17,0,Healthcare,3.224
72,19,8,1,Education,3.4279
73,17,22,0,Healthcare,3.9681
74,13,27,0,Manufacturing,3.5362
75,14,26,1,Healthcare,3.7515
76,18,23,0,Manufacturing,3.927
77,12,24,1,Healthcare,2.8801
78,19,16,0,Healthcare,3.816
79,17,11,1,Education,3.2361
80,14,19,0,Manufacturing,3.4725
81,14,22,0,Finance,3.6584
82,15,23,0,Services,3.8369
83,12,26,1,Services,3.4497
84,15,13,0,Finance,3.1952
85,13,22,0,Finance,3.7826
86,12,35,1,Manufacturing,3.6749
87,12,28,1,Manufacturing,3.5285
88,16,19,1,Education,3.3382
89,15,25,0,Education,3.8833
90,15,16,0,Finance,3.5016
91,14,34,0,Finance,4.2902
92,14,11,0,Education,2.9463
93,14,16,1,Manufacturing,3.2575
94,13,27,1,Education,3.5152
95,17,17,1,Services,3.8283
96,10,33,1,Manufacturing,3.6838
97,14,13,0,Manufacturing,3.1463
98,16,27,1,Healthcare,3.8324
99,11,31,0,Finance,3.8189
100,9,17,0,Services,3.0818
101,15,14,0,Education,3.3105
102,11,15,0,Healthcare,3.206
103,14,17,1,Healthcare,2.8101
104,16,32,1,Finance,3.8751
105,19,19,0,Finance,3.6707
106,14,36,1,Education,4.2777
107,14,22,1,Education,3.4297
108,19,22,0,Education,3.8516
109,13,21,1,Education,3.2027
110,13,12,1,Finance,2.8637
111,13,23,0,Manufacturing,3.5116
112,15,25,0,Manufacturing,3.5534
113,12,33,0,Finance,4.0575
114,12,20,1,Services,3.1668
115,15,20,0,Healthcare,3.4156
116,17,14,0,Services,3.5683
117,12,16,1,Manufacturing,3.0565
118,11,17,0,Education,3.3169
119,15,19,0,Education,3.2384
120,15,19,0,Services,3.6726
121,10,37,0,Services,4.0975
122,14,19,1,Manufacturing,3.3276
123,14,26,0,Manufacturing,3.8965
124,16,12,0,Finance,3.9204
125,9,25,0,Services,3.2376
126,18,16,0,Services,3.9112
127,17,31,0,Finance,4.6912
128,13,29,0,Finance,3.7387
129,16,25,0,Healthcare,4.1778
130,14,26,0,Manufacturing,3.8955
131,13,14,1,Services,3.276
132,13,23,1,Healthcare,3.5335
133,13,21,0,Healthcare,3.5486
134,15,22,1,Manufacturing,3.5948
135,18,18,1,Finance,3.4119
136,10,30,0,Finance,3.5775
137,17,29,1,Finance,4.0192
138,12,34,1,Healthcare,3.8221
139,14,19,0,Services,3.3538
140,14,29,0,Education,3.7686
141,14,21,0,Finance,3.2732
142,13,10,1,Healthcare,2.7286
143,12,33,1,Healthcare,3.7079
144,19,12,1,Finance,3.7931
145,15,11,1,Finance,3.0472
146,18,27,1,Education,3.925
147,15,14,1,Services,3.4775
148,9,25,0,Finance,3.5591
149,10,27,1,Manufacturing,3.3336
150,17,25,0,Manufacturing,3.8518
151,14,17,0,Education,3.3492
152,20,24,0,Finance,3.9805
153,11,28,0,Manufacturing,3.5809
154,16,17,1,Services,3.5311
155,15,27,1,Manufacturing,3.6641
